hissekodu,Symbol,symbol
KRVGD,KRVGD.IS,KRVGD.IS
KSTUR,KSTUR.IS,KSTUR.IS
KTLEV,KTLEV.IS,KTLEV.IS
KTSKR,KTSKR.IS,KTSKR.IS
KUTPO,KUTPO.IS,KUTPO.IS
KUYAS,KUYAS.IS,KUYAS.IS
KZBGY,KZBGY.IS,KZBGY.IS
KZGYO,KZGYO.IS,KZGYO.IS
LIDER,LIDER.IS,LIDER.IS
LIDFA,LIDFA.IS,LIDFA.IS
LILAK,LILAK.IS,LILAK.IS
LINK,LINK.IS,LINK.IS
LKMNH,LKMNH.IS,LKMNH.IS
LMKDC,LMKDC.IS,LMKDC.IS
LOGO,LOGO.IS,LOGO.IS
LRSHO,LRSHO.IS,LRSHO.IS
LUKSK,LUKSK.IS,LUKSK.IS
LYDHO,LYDHO.IS,LYDHO.IS
LYDYE,LYDYE.IS,LYDYE.IS
MAALT,MAALT.IS,MAALT.IS
MACKO,MACKO.IS,MACKO.IS
MAGEN,MAGEN.IS,MAGEN.IS
MAKIM,MAKIM.IS,MAKIM.IS
MAKTK,MAKTK.IS,MAKTK.IS
MANAS,MANAS.IS,MANAS.IS
MARBL,MARBL.IS,MARBL.IS
MARKA,MARKA.IS,MARKA.IS
MARTI,MARTI.IS,MARTI.IS
MAVI,MAVI.IS,MAVI.IS
MEDTR,MEDTR.IS,MEDTR.IS
MEGMT,MEGMT.IS,MEGMT.IS
MEKAG,MEKAG.IS,MEKAG.IS
MEPET,MEPET.IS,MEPET.IS
MERCN,MERCN.IS,MERCN.IS
MERIT,MERIT.IS,MERIT.IS
MERKO,MERKO.IS,MERKO.IS
METRO,METRO.IS,METRO.IS
METUR,METUR.IS,METUR.IS
MGROS,MGROS.IS,MGROS.IS
MHRGY,MHRGY.IS,MHRGY.IS
MIATK,MIATK.IS,MIATK.IS
MNDRS,MNDRS.IS,MNDRS.IS
MNDTR,MNDTR.IS,MNDTR.IS
MOBTL,MOBTL.IS,MOBTL.IS
MOGAN,MOGAN.IS,MOGAN.IS
MOPAS,MOPAS.IS,MOPAS.IS
MPARK,MPARK.IS,MPARK.IS
MRGYO,MRGYO.IS,MRGYO.IS
MRSHL,MRSHL.IS,MRSHL.IS
MSGYO,MSGYO.IS,MSGYO.IS
MTRKS,MTRKS.IS,MTRKS.IS
MTRYO,MTRYO.IS,MTRYO.IS
MZHLD,MZHLD.IS,MZHLD.IS
NATEN,NATEN.IS,NATEN.IS
NETAS,NETAS.IS,NETAS.IS
NIBAS,NIBAS.IS,NIBAS.IS
NTGAZ,NTGAZ.IS,NTGAZ.IS
NTHOL,NTHOL.IS,NTHOL.IS
NUGYO,NUGYO.IS,NUGYO.IS
NUHCM,NUHCM.IS,NUHCM.IS
OBAMS,OBAMS.IS,OBAMS.IS
OBASE,OBASE.IS,OBASE.IS
ODAS,ODAS.IS,ODAS.IS
ODINE,ODINE.IS,ODINE.IS
OFSYM,OFSYM.IS,OFSYM.IS
ONCSM,ONCSM.IS,ONCSM.IS
ONRYT,ONRYT.IS,ONRYT.IS
ORCAY,ORCAY.IS,ORCAY.IS
ORGE,ORGE.IS,ORGE.IS
ORMA,ORMA.IS,ORMA.IS
OSMEN,OSMEN.IS,OSMEN.IS
OSTIM,OSTIM.IS,OSTIM.IS
OTKAR,OTKAR.IS,OTKAR.IS
OTTO,OTTO.IS,OTTO.IS
OYAKC,OYAKC.IS,OYAKC.IS
OYAYO,OYAYO.IS,OYAYO.IS
OYLUM,OYLUM.IS,OYLUM.IS
OYYAT,OYYAT.IS,OYYAT.IS
OZATD,OZATD.IS,OZATD.IS
OZGYO,OZGYO.IS,OZGYO.IS
OZKGY,OZKGY.IS,OZKGY.IS
OZRDN,OZRDN.IS,OZRDN.IS
OZSUB,OZSUB.IS,OZSUB.IS
OZYSR,OZYSR.IS,OZYSR.IS
PAGYO,PAGYO.IS,PAGYO.IS
PAMEL,PAMEL.IS,PAMEL.IS
PAPIL,PAPIL.IS,PAPIL.IS
PARSN,PARSN.IS,PARSN.IS
PASEU,PASEU.IS,PASEU.IS
PATEK,PATEK.IS,PATEK.IS
PCILT,PCILT.IS,PCILT.IS
PEHOL,PEHOL.IS,PEHOL.IS
PEKGY,PEKGY.IS,PEKGY.IS
PENGD,PENGD.IS,PENGD.IS
PENTA,PENTA.IS,PENTA.IS
PETKM,PETKM.IS,PETKM.IS
PETUN,PETUN.IS,PETUN.IS
PGSUS,PGSUS.IS,PGSUS.IS
PINSU,PINSU.IS,PINSU.IS
PKART,PKART.IS,PKART.IS
PKENT,PKENT.IS,PKENT.IS
PLTUR,PLTUR.IS,PLTUR.IS
PNLSN,PNLSN.IS,PNLSN.IS
PNSUT,PNSUT.IS,PNSUT.IS
POLHO,POLHO.IS,POLHO.IS
POLTK,POLTK.IS,POLTK.IS
PRDGS,PRDGS.IS,PRDGS.IS
PRKAB,PRKAB.IS,PRKAB.IS
PRKME,PRKME.IS,PRKME.IS
PRZMA,PRZMA.IS,PRZMA.IS
PSDTC,PSDTC.IS,PSDTC.IS
PSGYO,PSGYO.IS,PSGYO.IS
QNBFK,QNBFK.IS,QNBFK.IS
QNBTR,QNBTR.IS,QNBTR.IS
QUAGR,QUAGR.IS,QUAGR.IS
RALYH,RALYH.IS,RALYH.IS
RAYSG,RAYSG.IS,RAYSG.IS
